Text, AID
"Can HTML tags be used in questionnaire?",A036
"Is the number in the questionnaire only a string",A036
"Is it possible to correct the questions on the published Test/Questionnaire?",A037
"Can I fix the text of question in the questionnaire published to students?",A037
"I can't fix the question of the questionnaire",A037
"I would like to know how to modify the published questionnaire.",A037
"Can I fix the problems of published questionnaires?",A037
"I exported the test results but I cannot find any questions for the answers.",A038
"Why are there multiple answers for the same student when exporting test results?",A038
"I do not see the question in its result exported as a file.",A038
"The same student answers more than once in the same questionnaire.",A038
"Exported Excel file includes only answers, and there are many answers from the same student.",A038
"Can students modify their answers in Test/Questionnaire?",A039
"For questionnaires that have been published as "persons to whom the URL for the response was sent", can the content already answered be corrected later? ",A039
"Can I correct the results other than resubmitting the questionnaire?",A039
"I would like to change the questionnaire I answered",A039
"I want to fix this because I accidentally closed the browser while answering the questionnaire.",A039
"I want to check the display screen from the student when I set the resubmission setting.",A040
"Can I view files to be disclosed in student mode?",A040
"I want to check the settings of materials from the student's point of view.",A040
"Is there a browsing function in student mode?",A040
"I want to check what the students look like.",A040
"I would like to take over the tests and materials in next year's class.",A041
"Can I use the contents of the test or questionnaire next year?",A041
"Can class content be used in next year's class?",A041
"I want to share the contents of the subject with the teacher who will take over the class in the next fiscal year.",A041
"I would like to use materials etc. even if the year changes.",A041
"I would like to use the seminar course next year.",A042
"I would like to continue using the courses I have created in this year and beyond in the next year.",A042
"I want to use the course across the year.",A042
"I want to use the same course next year.",A042
"I would like to take over the same file in next year's class.",A042
"The file submitted for the assignment (Word file) became a blank state.",A043
"When I tried to upload a file to the "document" an empty file was uploaded. ",A043
"Contents disappear when uploading files on Edge",A043
"File disappears with Microsoft Edge",A043
"I am using an old MacOS, but it appears that files of small size exceed 150 MB and I cannot upload it.",A043
"When I try to upload the document, it is displayed that the capacity is over 150 MB and I cannot upload. The file size does not exceed 150 MB. Operating environment: MacOS 10.6",A043
"I uploaded four PDF files using my Mac laptop and safari, but I get an error and I can't find any materials I could upload.",A043
"Can I upload using a browser other than the recommended environment?",A043
"When submitting an assignment, is there a limit to the file size?",A044
"When I try to upload a document, a warning is displayed and I cannot upload it.",A044
"Is there an upper limit on the amount of files that can be uploaded?",A044
"If the file submitted by the student is an empty file, is it displayed as a 0 KB file on the student confirmation screen?",A044
"We are planning to create an assignment and have 60 students submit files of about several MB during class, but is there a limit on the size of the submitted files?",A044
"How much file space can I upload to the course?",A044
"Can I upload video files as materials?",A045
"I tried uploading the SCORM teaching material file, which is one of the standards for the e-learning system, but it was displayed as "manifest.xml file not found",And uploading failed. ",A045
"What file types can I upload?",A045
"Can I also upload image files?",A045
"I want to know the file format I can upload.",A045
"Not registered on kibaco.",A046
"I'm in charge of the class but I'm not registered to the class.",A046
"I would like to register myself in the class",A046
"Account not created.",A046
"Not associated with the class in charge",A046
"The main teacher was a part-time instructor and was not registered for the course.",A047
"I would like staff to be registered as teachers in the course.",A047
"How can a teacher use kibaco?",A047
"I want to add teachers to my class at kibaco.",A047
"I have an information system ID for education and research, but kibaco is not available.",A047
"I have an information system ID for education and research, but I cannot log in to kibaco.",A047
"Is it necessary to apply to use kibaco?",A047
"Can I apply for the right to use kibaco with the information system ID for education and research?",A047
"How to apply for a part-time teacher to a course subject.",A048
"I will be in charge of classes as part-time lecturers from this year, but I would like to use kibaco. How should I proceed?",A048
"I have had a part-time teacher register for this year's class course, but do I have to apply for the same one in the next fiscal year?",A048
"Can part-time teachers also use kibaco?",A048
"I am currently work for TMU as a part-time lecturer, but do I have to apply right to use kibaco for the next year?",A048
"Because my teaching staff has been replaced, I would like you to unregister the predecessor from kibaco.",A049
"The subjects I am not in charge are shown on the schedule, so please delete them.",A049
"I'm no longer in charge of class, so I want to unregister.",A049
"I want to know how to proceed because I'm out of my charge.",A049
"What information do I need to contact a class manager for deregistration?",A049
"Can special course students make use of kibaco?",A050
"Who can use kibaco?",A050
"How should we do if research students want to use kibaco?",A050
"How do I register for a short stay international student?",A050
"Not a regular student but can he/she use kibaco?",A050
"There is no class",A051
"One student logged in to kibaco, but the registered course does not appear on the tab.",A051
"The class tab is not displayed in the account of the student taking it.",A051
"Students who have registered for the class say that there is no tab for the class.",A051
"Are there any settings to display class tabs?",A051
"Student informed me that the class tab could not be found.",A051
"The subject has not been registered in kibaco and it will not be displayed on timetable.",A051
"I logged in to kibaco but the subjects are not displayed.",A051
"Classes I have registered are not displayed on kibaco.",A051
"I cannot see the classes I have taken on kibaco.",A051
"The teacher told me to look at the kibaco course materials, but there is no course when I log in to kibaco.",A051
"The registered student has been tentatively registered, is there any difference from this registration?",A052
"A research student has not been registered for the course.",A052
"Several students are not connected to class.",A052
"Do graduate students need to apply for additional rights to use kibaco?",A052
"I would like to add students to the class at kibaco.",A052
"A user whose user information has not been set is registered.",A052
"Materials are not uploaded because TA is not registered for the course.",A052
"When will the results of the class registering application be reflected in kibaco?",A053
"Students who registered for the course are not registered for the kibaco course.",A053
"No students have been registered for the subject in charge. When will the students who are taking classes be registered?",A053
"When will students be enrolled in kibaco?",A053
"When can I confirm if I have registered for a course?",A053
"Are students who have been provisionally enrolled in the kibaco course will not be erased as provisionally registered even after the course application period is over?",A054
"I cannot cancel classes I do not register on kibaco.",A054
"Can the teacher delete a student who has been temporarily registered?",A054
"I am tentatively registered student but I want to withdraw.",A054
"I would like to cancel the course without registering it",A054
"The student tried to cls-register for the subject but could not cls-register for some subjects.",A055
"Can't find course from cls-registration screen",A055
"I cannot register myself",A055
"A research student cannot cls-register in a subject.",A055
"I want students to have access to kibaco subjects before completing the course registration.",A055
"I would like to cancel the registration from the subject I cls-registered.",A056
"Students who were allowed to cls-register but who did not register for the course are still provisionally registered. Are there any problems with deleting students?",A056
"I registered for a certain class with kibaco and then registered for the class at Campus Square. Despite having canceled registration for the class at a later date, the binding on kibaco has not been released. It can not be canceled. ",A056
"I would like to cancel my registration, so I want to cancel my registration.",A056
"I would like to know how to cancel the registration of secondary courses",A056
"Are there any ways for teachers in charge of course consolidation?",A057
"Please tell me how to apply for intensive subjects",A057
"I would like to put together classes at the same time with kibaco (I want to consolidate the subjects)",A057
"After subject consolidation, will the test created in the main subject be copied to the secondary subject?",A057
"I want to combine multiple tabs into one.",A057
"I would like to cancel the consolidation of subjects.",A058
"Please restore aggregated lessons",A058
"Please remove private classes",A058
"Please cancel the subject consolidation",A058
"Please cancel intensive courses",A058
"If I consolidate my subjects, it becomes private.",A059
"The subject in charge is "private class". ",A059
"There is a thing called "private class" in the same class name. ",A059
"The aggregated lessons are still displayed.",A059
"I do not know if it is a secondary subject",A059
"If I look at the schedule, there are two classes on the same day and time," A060
"The same course is displayed twice in the kibaco timetable.",A060
"When I registered as a teacher for a class course, there were two classes on the same day and the same time period.",A060
"Multiple classes are displayed on the exact same date and time.",A060
"There are multiple classes displayed on the same day of the week, what should I do?",A060
"If students use the cls-registration function in a course with intensive courses, is it necessary to enable the cls-registration function in addition to the main subject?",A061
"Are students not accidentally referring to secondary subjects?",A061
"When enrolling in a cls-registered course for a consolidated course, is it possible for students to accidentally register for or access a secondary course?",A061
"What happens if the students are cls-registering in the secondary subjects when the subjects are aggregated?",A061
"Can students see the contents of the secondary subjects?",A061
"I do not know the ID and password.",A062
"I forgot my kibaco login password, so I want to reissue my password.",A062
"I am a student of Arakawa Campus, but I want to use kibako though I forgot my user ID and password.",A062
"I want to reset my login password",A062
"I am a student at Hino Campus, but I want to use kibako though I forgot my user ID and password.",A062
"I cannot use kibaco",A062
"I want to check student attendance by using kibaco during class.",A063
"I want to get attendance information automatically",A063
"Does kibaco not have the ability to record student attendance?",A063
"I want to automatically manage student attendance.",A063
"I want the system to do attendance management",A063
"Please let me know how to contact students in kibaco.",A064
"I would like to contact students",A064
"What kind of method is good to convey cancellation information to students?",A064
"Are there any ways to contact all students?",A064
"Can I email the students when I create an announcement?",A064
"Can email be sent to provisionally registered students?",A064
"Is there a way to communicate with all students in a student account other than the bulletin board?",A064
"Are there any ways to communicate with everyone in the class?",A064
"I would like to send a message to each student but not send it by email.",A065
"I want to send it to the student's internal e-mail.",A065
"Can we communicate information only to certain students?",A065
"Can I send mail only to designated students?",A065
"I want to send an email to some students, not everyone"., A065
"I would like to send an email to students who have not registered as well.",A065
"The message function does not appear on the screen",A066
"The teacher instructed me to submit the submission via kibaco, but I can not find the message function.",A066
"I tried to use the "message" function to "students" and tried to send an email, but I can not find the "message" function written in the manual. ",A066
"I want to use the message function but can not find the function.",A066
"Where is the message function?",A066
"Can the content exchanged with students in the message function be viewed by other teachers?",A067
"When sending a message to multiple students, I want to send it in a state where the students don't know who was sent to me other than myself.",A067
"When sending a message to multiple students using the message function, will the student's email address be seen by other students?",A067
"Is the message function sent by BCC?",A067
"What happens to the e-mail address displayed when sending messages to multiple students?",A067
"How can I prevent the students from seeing the "notices" of the first semester subjects? ",A068
"Can students who are not enrolled in the subject can view the notice?",A068
"I want to be unable to view the notices that have already expired",A068
"Can I set a deadline to display the notice?",A068
"Who can see the contents of the announcement?",A068
"Can I notify students that I wrote on the bulletin board?",A069
"I want to know what was written on the bulletin board but what should I do?",A069
"I want to be notified when something is written",A069
"I want to be notified by email when a student writes something.",A069
"Does the bulletin board have a notification function?",A069
"Can a new thread on the kibaco bulletin board be created with a student account?",A070
"Can students create threads?",A070
"Who has thread creation authority?",A070
"We want to make it possible for students to create a thread specific to a certain topic freely on the bulletin board.",A070
"Is there a facility for everyone to discuss a topic?",A070
"Can only the users registered in the course read and write to the bulletin board?",A071
"Can people other than the student registered the class also view the content of the bulletin board?",A071
"What is the access authority for the bulletin board?",A071
"Who can read/write the contents of the bulletin board other than the teacher and the student?",A071
"Can anyone freely write to the bulletin board?",A071
"E-mail will be sent when the assignment is submitted, but it will be annoying because it will be sent one by one. Can it be turned off in the settings?",A072
"I want to turn off the notification about the issue.",A072
"Notice is loud.",A072
"I do not want to receive notification emails",A072
"I want to be set not to receive reminders of issues.",A072
"I would like to register a student who went from university to graduated university as a student in the course, but even if the student logs in, the course is not displayed on the timetable or tab.",A073
"Must I register a new study number when you enter the doctoral program?",A073
"Students who are in the master's course cannot see the class.",A073
"Can I register with my previous study number?",A073
"Can I register with my undergraduate study number?",A073
"I would like to change the e-mail address for kibaco registration.",A074
"I would like to change the class notification address to a personally owned address.",A074
"I want to contact Gmail.",A074
"I want to set it to notify Yahoo! Mail.",A074
"I would like to set the default registered address as an off-campus address",A074
"I can not see the previous year's course",A075
"The last year's class tab has disappeared.",A075
"I want to display the contents of the previous year's class.",A075
"The contents of last year can not be seen in the new year.",A075
"I want to display the contents of the same subject in different year.",A075
"Can't create a class wiki?",A076
"I want to search for materials",A076
"I want to share my schedule with my students.",A076
"I want to hide functions I do not use.",A076
"I want to edit the items on the left side of the course screen.",A076
"I would like to distribute files to students, but can I use kibaco outside the university?",A077
"Can I upload documents from home?",A077
"Can I access kibaco from outside the university?",A077
"Can I browse the class materials from other than Tokyo Metropolitan University?",A077
"Can it be used outside the university?",A077
"Can the teacher confirm the log of the resubmission of the assignment?",A078
"Does kibaco have logging capabilities?",A078
"I want to see the log",A078
"I want to see the student's behavior history",A078
"Can a teacher see the log?",A078
"What is the recommended browser?",A079
"Which OS should I use?",A079
"Which browser do I use?",A079
"Tell me the recommended environment.",A079
"Which PC should I use?",A079
